Original,Correction,Address,City,State
3734-42 W Ainslie/ 4900-06 N Ridgeway,,3734 W Ainslie,Chicago,Illinois
2854-60 W Montrose/ 4403-13 N Francisco,,2854 W Montrose,Chicago,Illinois
4540-42 N St Louis,,4540 N. St. Louis,Chicago,Illinois
3745-47 W Agatite,,3745 W. Agatite,Chicago,Illinois
3359 W Wilson/ 4547 N Kimball,,3359 W. Wilson,Chicago,Illinois
4538 N St Louis,,4538 N. St. Louis,Chicago,Illinois
3654-58 W Montrose/ 4403-09 N Lawndale,,3654 W. Montrose,Chicago,Illinois
2842-44 W Montrose,,2842 W. Montrose,Chicago,Illinois
5342-46 N Kedzie,,5342 N. Kedzie,Chicago,Illinois
4514 N Troy,,4514 N. Troy,Chicago,Illinois
4335-39 N Richmond,,4335 N. Richmond,Chicago,Illinois
6361 W Addison,,6361 W Addison,Chicago,Illinois
5236 W Diversey,,5236 W Diversey,Chicago,Illinois
3701-03 W Sunnyside/ 4448-54 N Lawndale,,3701 W. Sunnyside,Chicago,Illinois
3708 W Agatite,,3708 W Agatite,Chicago,Illinois
3735 W Agatite,,3735 W Agatite,Chicago,Illinois
3751 W Agatite,,3751 W Agatite,Chicago,Illinois
3701-03 W Agatite/ 4416-18 N Lawndale,,3701 W. Agatite,Chicago,Illinois
3734-44 W. Cullom/ 4300-02 N Ridgeway,,3734 W. Cullom,Chicago,Illinois
4118 W Cullom,,4118 W. Cullom,Chicago,Illinois
3907 N Tripp,,3907 N Tripp,Chicago,Illinois
4538-42 N Kenneth,,4538 N. Kenneth,Chicago,Illinois
3753-57 W Berteau/ 4157 N Hamlin,,3753 W. Berteau,Chicago,Illinois
4337 N Cicero/ 4722 W Pensacola,,4337 N. Cicero,Chicago,Illinois
3715 N Montrose,,3715 N Montrose,Chicago,Illinois
3356 W Cullom/ 4301-09 N Kimball,,3356 W. Cullom,Chicago,Illinois
3447-57 W Sunnyside/ 4457 N St Louis,,3447 W. Sunnyside,Chicago,Illinois
3714-22 W Belle Plaine/ 4101-03 N Ridgeway,,3714 W. Belle Plaine,Chicago,Illinois
4415 N Hamlin,,4415 N Hamlin,Chicago,Illinois
3509-11 W Belle Plaine/ 4056 N St Louis,,3509 W. Belle Plaine,Chicago,Illinois
3809-11 W Sunnyside/ 4460 N Hamlin,,3809 W. Sunnyside,Chicago,Illinois
4145 N Bernard,,4145 N. Bernard,Chicago,Illinois
3403-11 W Wilson,,3403 W. Wilson,Chicago,Illinois
3724 W Leland,,3724 W. Leland,Chicago,Illinois
3714-20 W Montrose,,3714 W. Montrose,Chicago,Illinois
3730 W Montrose,3730-3732 W Montrose,3730 W. Montrose,Chicago,Illinois
4420-22 N Harding,,4420 N. Harding,Chicago,Illinois
3407-09 W Sunnyside/ 4452-56 N Kimball,,3407 W. Sunnyside,Chicago,Illinois
3734 W Leland,,3734 W Leland,Chicago,Illinois
3706 W Montrose,,3706 W Montrose,Chicago,Illinois
3736 W Leland,,3736 W Leland,Chicago,Illinois
3710 W Montrose,,3710 W Montrose,Chicago,Illinois
4502-06 N Harding,,4502 N Harding,Chicago,Illinois
4021 W Cullom,,4021 W Cullom,Chicago,Illinois
4549-59 N Harris,4549-59 N Hamlin,4549 N. Hamlin,Chicago,Illinois
3415-25 W Sunnyside,,3415 W. Sunnyside,Chicago,Illinois
3558 W Warner/ 4137-43 N Kimball,,3558 W. Warner,Chicago,Illinois
4651-55 N Kiona/4460 N Kelso,,4651 N. Kiona,Chicago,Illinois
3655-57 W Sunnyside/ 4449-57 N Lawndale,,3655 W. Sunnyside,Chicago,Illinois
3558 W Pensacola/ 4335-37 N Kimball,,3558 W. Pensacola,Chicago,Illinois
2824 N Laramie/ 5203 Wolfram,,2824 N. Laramie,Chicago,Illinois
5555 W Newport,,5555 W Newport,Chicago,Illinois
4100 N Parkside/ 5642 W Belle Plaine,,4100 N. Parkside,Chicago,Illinois
3742 W Montrose,,3742 W. Montrose,Chicago,Illinois
4322 N Monticello,,4322 N. Monticello,Chicago,Illinois
6229-31 W Belmont,,6229 W. Belmont,Chicago,Illinois
3849-55 W Leland/ 4657 N Springfield,,3849 W. Leland,Chicago,Illinois
4121-25 N Tripp,,4121 N. Tripp,Chicago,Illinois
3716-18 W Leland,,3716 W. Leland,Chicago,Illinois
3543-45 N New England,,3543 N. New England,Chicago,Illinois
4929 W Warwick,,4929 W. Warwick,Chicago,Illinois
3720 W Leland,,3720 W Leland,Chicago,Illinois
3843 W Montrose,,3843 W Montrose,Chicago,Illinois
4263 W Montrose,,4263 W Montrose,Chicago,Illinois
3835 W Montrose,,3835 W Montrose,Chicago,Illinois
3614-26 W Cullom,,3614 W. Cullom,Chicago,Illinois
3917-19 W Sunnyside/ 4459-61 N Harding,,3917 W. Sunnyside,Chicago,Illinois
4643 N Harding,,4643 N. Harding,Chicago,Illinois
4265 W Montrose,,4265 W. Montrose,Chicago,Illinois
3217-21 N Kildare,,3217 N. Kildare,Chicago,Illinois
3717 W Montrose,,3717 W. Montrose,Chicago,Illinois
6129-35 W Belmont,,6129 W. Belmont,Chicago,Illinois
3348 W Montrose,,3348 W. Montrose,Chicago,Illinois