x,total,evictions,no_evictions
0.05,356,164,192
0.1,158,92,66
0.15,59,31,28
0.2,71,40,31
0.25,43,23,20
0.3,55,37,18
0.35,27,14,13
0.4,25,13,12
0.45,45,33,12
0.5,41,32,9
0.55,61,42,19
0.6,32,19,13
0.65,56,38,18
0.7,63,47,16
0.75,77,57,20
0.8,68,49,19
0.85,120,86,34
0.9,237,167,70
0.95,356,257,99
1,700,492,208
